trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 0.5128205128205129}",20,0,-64.37536516592273,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.95, 'e': 0.1694915254237288}",20,0,-88.6652250308475,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.95, 'e': 0.08438818565400844}",20,0,-95.54553392268828,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.95, 'e': 0.050505050505050504}",30,15,-74.78331439211718,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 1}",1
5,False,"{'a': 0.95, 'e': 0.03361344537815126}",25,0,-70.76002552588184,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0
6,False,"{'a': 0.95, 'e': 0.023980815347721823}",25,0,-77.10254802203502,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.95, 'e': 0.017969451931716084}",20,0,-18.576128644696936,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.95, 'e': 0.013966480446927375}",20,0,-117.8811792850827,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
9,False,"{'a': 0.95, 'e': 0.011166945840312675}",20,0,-34.393770129422236,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.95, 'e': 0.0091324200913242}",20,0,-30.693695494216637,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.95, 'e': 0.0076074553062000765}",25,0,-100.18978498420013,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.95, 'e': 0.006435006435006435}",25,16,19.864556711000233,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.95, 'e': 0.005514199062586159}",20,6,-37.13719315543176,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.95, 'e': 0.004777830864787386}",35,14,-80.97881836376848,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 2}",1
15,False,"{'a': 0.95, 'e': 0.0041797283176593526}",30,0,-159.40731522783727,"{0: 23, 1: 0, 2: 3, 3: 0, 4: 4}",0
16,False,"{'a': 0.95, 'e': 0.003687315634218289}",30,0,-30.814591567191126,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.95, 'e': 0.003277076847452073}",20,0,-113.97326930878728,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
18,False,"{'a': 0.95, 'e': 0.002931691586045148}",20,13,2.8906233989116625,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.95, 'e': 0.0026381743833267376}",25,5,-3.917229237168562,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.95, 'e': 0.002386634844868735}",25,17,13.358121734930487,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.95, 'e': 0.0021694326933506887}",20,12,13.23773828459494,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.95, 'e': 0.001980590215884334}",30,3,-97.78388183691905,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 3}",1
23,False,"{'a': 0.95, 'e': 0.0018153762367250613}",25,0,-18.92210276068388,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
24,False,"{'a': 0.95, 'e': 0.0016700066800267202}",20,14,10.083077122030339,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.95, 'e': 0.0015414258188824663}",20,0,-4.276634442673181,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
26,False,"{'a': 0.95, 'e': 0.0014271442842871413}",30,0,39.10994735614677,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.95, 'e': 0.0013251176041873716}",25,0,-59.99553673467144,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
28,False,"{'a': 0.95, 'e': 0.001233654083395016}",30,18,25.33316348807395,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.95, 'e': 0.0011513441943469}",20,10,19.294710027028692,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.95, 'e': 0.0010770059235325794}",20,0,14.775077983125264,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
31,False,"{'a': 0.95, 'e': 0.0010096420818819728}",20,0,-0.23891334612882553,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
32,False,"{'a': 0.95, 'e': 0.0009484066767830045}",25,0,-5.366485187199249,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
33,False,"{'a': 0.95, 'e': 0.0008925782121658411}",35,25,-22.997418161486557,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
34,False,"{'a': 0.95, 'e': 0.0008415383320710259}",30,6,-48.70145078088619,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 2}",1
35,False,"{'a': 0.95, 'e': 0.0007947546195112259}",25,7,25.205588091182538,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.95, 'e': 0.0007517666516313336}",25,13,22.884856108210712,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.95, 'e': 0.0007121746252181034}",30,0,25.016954469256017,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
38,False,"{'a': 0.95, 'e': 0.000675630024998311}",20,0,-15.9803382837596,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
39,False,"{'a': 0.95, 'e': 0.0006418279259330574}",35,16,25.542595311293606,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.95, 'e': 0.0006105006105006105}",25,5,-38.334373893271014,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
41,False,"{'a': 0.95, 'e': 0.000581412250356115}",25,3,30.680216032590153,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.95, 'e': 0.0005543544542380398}",25,15,15.894345051775634,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.95, 'e': 0.0005291425245389846}",20,0,4.396022888079731,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
44,False,"{'a': 0.95, 'e': 0.0005056122964910507}",30,0,-10.125732926375155,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
