trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-233.74928368323071,"{0: 10, 1: 6, 2: 5, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.63339653727427,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.82567462055324,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-162.00422640752728,"{0: 16, 1: 6, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.38479433825734,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-171.41156731469007,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.73623881027123,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-181.0388365675503,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.5538217418575,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.23079856381705,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,11,-87.8065163034751,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-342.4900420743106,"{0: 6, 1: 3, 2: 9, 3: 2, 4: 5}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,12,-17.947941033945273,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.90829262780471,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.11881936986501,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.9072862180014,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.3503030516721,"{0: 12, 1: 6, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-273.92315723473195,"{0: 4, 1: 6, 2: 3, 3: 3, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.67804525297305,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-80.6306657014799,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-97.4885398711314,"{0: 26, 1: 6, 2: 1, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.99675653562447,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-28.86661797938604,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-158.9322426812028,"{0: 10, 1: 8, 2: 5, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-81.45326641206273,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-79.30280411626136,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,0,-89.32286562563603,"{0: 24, 1: 5, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-158.7041099151223,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,21,15.835445082981652,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,7,-43.77578673056795,"{0: 7, 1: 3, 2: 2, 3: 1, 4: 0}",1
